;city_code;product;product_type;year;destinated_area
0;773cbe24d8fc9fea;Rice;temporary;2018-01-01;0.0
1;773cbe24d8fc9fea;Corn;temporary;2018-01-01;0.0
2;09791645137aa877;Rice;temporary;2018-01-01;0.0
3;807c5037e6993f2c;Corn;temporary;2018-01-01;3500.0
4;fda49275fbf5caf6;Cassava;temporary;2018-01-01;2300.0
5;8e0eb10270d768f8;Sorghum;temporary;2018-01-01;0.0
6;6cce2bf873870afc;Cassava;temporary;2018-01-01;18300.0
7;062ce4c17e84291e;Livestock;pasture;2018-01-01;766.999553
8;9bd4f108a319de42;Palm oil;permanent;2018-01-01;0.0
9;51db62cb09adc2e8;Cassava;temporary;2018-01-01;600.0
10;a18af8fbae254d86;Sorghum;temporary;2018-01-01;0.0
11;d6ffd6d7dfe22d57;Others;permanent;2018-01-01;672.0
12;8ef25b4985bc557a;Sorghum;temporary;2018-01-01;0.0
13;fae378a53734da72;Livestock;pasture;2018-01-01;112928.2967
14;13804a196311e1ba;Beans;temporary;2018-01-01;150.0
15;74d75dde6dc4a5ec;Others;temporary;2018-01-01;227.0
16;f8e70145d73bd728;Others;permanent;2018-01-01;373.0
17;fda49275fbf5caf6;Livestock;pasture;2018-01-01;114814.3435
18;782568ced6ad8838;Others;permanent;2018-01-01;33.0
19;ad622472210b0b57;Palm oil;permanent;2018-01-01;0.0
20;11645a57d3a1d507;Beans;temporary;2018-01-01;400.0
21;c129d0cd5f1afd51;Cocoa;permanent;2018-01-01;1125.0
22;fa005e1ffef6032a;Rice;temporary;2018-01-01;62.00526315789473
23;1096f26c5a236d0b;Beans;temporary;2018-01-01;20.0
24;505ceb6546aa8435;Soy;temporary;2018-01-01;0.0
25;fae378a53734da72;Sorghum;temporary;2018-01-01;0.0
26;ad622472210b0b57;Others;temporary;2018-01-01;240.0
27;a18af8fbae254d86;Livestock;pasture;2018-01-01;13297.94133
28;41e0f8ccfe523e0d;Livestock;pasture;2018-01-01;18458.04148
29;72b65b337fc5302a;Sorghum;temporary;2018-01-01;0.0
30;f67358b81451a8d1;Corn;temporary;2018-01-01;30.117376194613342
31;205ccde9be499e17;Corn;temporary;2018-01-01;600.0
32;11b6622567f98f3b;Others;temporary;2018-01-01;0.0
33;c45d8ddba643c0d7;Beans;temporary;2018-01-01;270.3628789399719
34;41e0f8ccfe523e0d;Corn;temporary;2018-01-01;350.0
35;20e241460ce4140d;Sorghum;temporary;2018-01-01;0.0
36;be4424aa54f8d2ae;Corn;temporary;2018-01-01;6000.0
37;f8e70145d73bd728;Soy;temporary;2018-01-01;0.0
38;ad622472210b0b57;Others;permanent;2018-01-01;585.0
39;a7187a1b5b870cf4;Livestock;pasture;2018-01-01;1211.531799
40;1096f26c5a236d0b;Others;permanent;2018-01-01;570.0
41;807c5037e6993f2c;Others;permanent;2018-01-01;205.0
42;a4d1e1ff1bc3b830;Others;temporary;2018-01-01;0.0
43;855f882ce507aba5;Cassava;temporary;2018-01-01;125.0
44;8a4ab531676691da;Beans;temporary;2018-01-01;187.695554557701
45;205ccde9be499e17;Others;permanent;2018-01-01;2285.0
46;c45d8ddba643c0d7;Rice;temporary;2018-01-01;48.653126244524096
47;e635f6b0f8a98808;Beans;temporary;2018-01-01;127.0
48;f39d21744916469c;Rice;temporary;2018-01-01;0.0
49;f67358b81451a8d1;Livestock;pasture;2018-01-01;14896.14483
50;d6f1f98b1745e004;Cassava;temporary;2018-01-01;1800.0
51;7e56bd83460aabc7;Sorghum;temporary;2018-01-01;0.0
52;07bba1a59af78f2d;Cassava;temporary;2018-01-01;1000.0
53;857b720c7c979ae1;Palm oil;permanent;2018-01-01;2772.826819923372
54;20e241460ce4140d;Livestock;pasture;2018-01-01;1839.679328
