;destinated_area;city_code;product;product_type;year
0;0.0;773cbe24d8fc9fea;Rice;temporary;1997
1;0.0;773cbe24d8fc9fea;Corn;temporary;1997
2;0.0;09791645137aa877;Rice;temporary;1997
3;0.0;ae345f007f327b22;Palm oil;permanent;1997
4;540.0;cb23149538de1c42;Rice;temporary;1997
5;3097.0;841ef18dcb3dbc3e;Palm oil;permanent;1997
6;12.11111111111111;4de42e351006a2ae;Cocoa;permanent;1997
7;5600.0;5214b514b5b440be;Rice;temporary;1997
8;65802.90207;902f3a9003f7e637;Livestock;pasture;1997
9;0.0;cdc89121a4b9478b;Soy;temporary;1997
10;0.0;351bc0cbcce79ec9;Soy;temporary;1997
11;0.0;588162e9cdf5d66d;Cocoa;permanent;1997
12;0.0;8ca7766621b0ffe9;Cocoa;permanent;1997
13;100.0;cf96db4cc35ea025;Cassava;temporary;1997
14;150.0;60982e0f7928740a;Corn;temporary;1997
15;0.0;8a4ab531676691da;Palm oil;permanent;1997
16;7550.0;855f882ce507aba5;Corn;temporary;1997
17;2300.0;8e0eb10270d768f8;Rice;temporary;1997
18;210.0;6a7b8c3ab2bc6c38;Beans;temporary;1997
19;150.0;114487007645c940;Rice;temporary;1997
20;0.0;617532f74ef8ed73;Soy;temporary;1997
21;0.0;505ceb6546aa8435;Soy;temporary;1997
22;1125.0;d0f5f5b9fcecb0d8;Cassava;temporary;1997
23;0.0;841ef18dcb3dbc3e;Others;temporary;1997
24;0.0;773cbe24d8fc9fea;Sorghum;temporary;1997
25;150.0;13804a196311e1ba;Beans;temporary;1997
26;60.0;5e1e131ec84f4c87;Others;temporary;1997
27;0.0;746cc42bfb8f6b62;Cocoa;permanent;1997
28;0.0;20589298110cd872;Others;permanent;1997
29;25000.0;0dcbfaab30eb40c1;Cassava;temporary;1997
30;60.0;fa005e1ffef6032a;Rice;temporary;1997
31;31.0;47564ef7b8c69829;Others;temporary;1997
32;417.0;c45d8ddba643c0d7;Others;permanent;1997
33;0.0;9ce50fa197613de1;Palm oil;permanent;1997
34;600.0;86d92d4b0a058014;Rice;temporary;1997
35;0.0;8910840651ee3971;Soy;temporary;1997
36;190.0;ba4547c678a9a2e6;Palm oil;permanent;1997
37;30.0;10973d6049af898b;Others;temporary;1997
38;30.0;c129d0cd5f1afd51;Rice;temporary;1997
39;0.0;1d8a692643f9a15a;Soy;temporary;1997
40;286061.6778;64a227aa24370b17;Livestock;pasture;1997
41;0.0;9ce50fa197613de1;Cocoa;permanent;1997
42;0.0;a4d1e1ff1bc3b830;Cocoa;permanent;1997
43;180.0;cdc89121a4b9478b;Others;temporary;1997
44;150.0;3cf541a13002d37b;Cassava;temporary;1997
45;96.0;a1b03f0e4d79b4fe;Others;permanent;1997
46;180.0;c45d8ddba643c0d7;Cassava;temporary;1997
47;0.0;062ce4c17e84291e;Sorghum;temporary;1997
48;14161.77642;b4829f1e221d9778;Livestock;pasture;1997
49;0.0;fa005e1ffef6032a;Sorghum;temporary;1997
50;0.0;41e0f8ccfe523e0d;Soy;temporary;1997
51;300.0;b4829f1e221d9778;Corn;temporary;1997
52;3000.0;80e8ffb027590a74;Rice;temporary;1997
53;217.0;eac302b92f87d9ca;Others;temporary;1997
54;5000.0;588162e9cdf5d66d;Sorghum;temporary;1997
55;0.0;588162e9cdf5d66d;Sorghum;temporary;1997
56;98.0;df2cd1cbe849ebd0;Others;temporary;1997
57;94239.03434;6471ede39ca61b39;Livestock;pasture;1997
58;0.0;d0f5f5b9fcecb0d8;Cocoa;permanent;1997
59;72939.96943;3cf541a13002d37b;Livestock;pasture;1997
60;250.0;782568ced6ad8838;Beans;temporary;1997
61;17003.69644;c0019c9a4b4819f2;Livestock;pasture;1997
